,name,place_id,lat,lon
0,Mont Saint-Michel,276970680,48.6359541,-1.511459954959514
1,Saint-Malo,277106181,48.649518,-2.0260409
2,Bayeux,276101915,49.2764624,-0.7024738
3,Le Havre,116797886,49.4938975,0.1079732
4,Rouen,116490697,49.4404591,1.0939658
5,Paris,114827617,48.8534951,2.3483915
6,Amiens,116694242,49.8941708,2.2956951
7,Lille,118533424,50.6365654,3.0635282
8,Strasbourg,381804960,48.584614,7.7507127
9,Château du Haut-Kœnigsbourg,136411398,48.2495226,7.3454923
10,Colmar,136331572,48.0777517,7.3579641
11,Eguisheim,136516441,48.0447968,7.3079618
12,Besançon,110217040,47.2380222,6.0243622
13,Dijon,111540922,47.3215806,5.0414701
14,Annecy,107354879,45.8992348,6.1288847
15,Grenoble,108194303,45.1875602,5.7357819
16,Lyon,108560795,45.7578137,4.8320114
17,Gorges du Verdon,101828497,43.7496562,6.3285616
18,Bormes-les-Mimosas,101877567,43.1506968,6.3419285
19,Cassis,102437647,43.2140359,5.5396318
20,Marseille,387540349,43.2961743,5.3699525
21,Aix-en-Provence,102741999,43.5298424,5.4474738
22,Avignon,102193665,43.9492493,4.8059012
23,Uzès,106427400,44.0121279,4.4196718
24,Nîmes,102307633,43.8374249,4.3600687
25,Aigues-Mortes,102716851,43.5661521,4.19154
26,Saintes-Maries-de-la-Mer,102529062,43.4515922,4.4277202
27,Collioure,103975931,42.52505,3.0831554
28,Carcassonne,104358485,43.2130358,2.3491069
29,Tarascon-sur-Ariège,103773365,42.8458016,1.6067586
30,Toulouse,376688237,43.6044622,1.4442469
31,Montauban,105191250,44.0175835,1.3549991
32,Biarritz,283462568,43.4832523,-1.5592776
33,Bayonne,281543649,43.4945144,-1.4736657
34,La Rochelle,280762466,46.1591126,-1.1520434
