city,pop
Aigues-Mortes,0.13899999999999998
Aix-en-Provence,0.05900000000000001
Amiens,0.55
Annecy,0.7344999999999999
Avignon,0.10049999999999999
Bayeux,0.325
Bayonne,0.516
Besançon,0.6195
Biarritz,0.528
Bormes-les-Mimosas,0.032
Carcassonne,0.21200000000000002
Cassis,0.13599999999999998
Château du Haut-Kœnigsbourg,0.5795
Collioure,0.141
Colmar,0.697
Dijon,0.6585
Eguisheim,0.7310000000000001
Gorges du Verdon,0.185
Grenoble,0.731
La Rochelle,0.42750000000000005
Le Havre,0.344
Lille,0.317
Lyon,0.33199999999999996
Marseille,0.14550000000000002
Mont Saint-Michel,0.4295
Montauban,0.40750000000000003
Nîmes,0.128
Paris,0.49450000000000005
Rouen,0.492
Saint-Malo,0.278
Saintes-Maries-de-la-Mer,0.1
Strasbourg,0.5700000000000001
Tarascon-sur-Ariège,0.585
Toulouse,0.2325
Uzès,0.148
